Timestamp,Vibration (mm/s)
2025-07-25 12:00:00.000000,0.0
2025-07-25 12:00:00.000100,0.18848439715408175
2025-07-25 12:00:00.000200,0.3769018266993454
2025-07-25 12:00:00.000300,0.5651853448202453
2025-07-25 12:00:00.000400,0.7532680552793272
2025-07-25 12:00:00.000500,0.9410831331851431
2025-07-25 12:00:00.000600,1.1285638487348169
2025-07-25 12:00:00.000700,1.3156435909228248
2025-07-25 12:00:00.000800,1.5022558912075707
2025-07-25 12:00:00.000900,1.6883344471273387
2025-07-25 12:00:00.001000,1.8738131458572462
2025-07-25 12:00:00.001100,2.0586260876988134
2025-07-25 12:00:00.001200,2.242707609493812
2025-07-25 12:00:00.001300,2.425992307954075
2025-07-25 12:00:00.001400,2.6084150628989695
2025-07-25 12:00:00.001500,2.789911060392293
2025-07-25 12:00:00.001600,2.97041581577035
2025-07-25 12:00:00.001700,3.149865196553048
2025-07-25 12:00:00.001800,3.3281954452298668
2025-07-25 12:00:00.001900,3.50534320191259
2025-07-25 12:00:00.002000,3.6812455268467796
2025-07-25 12:00:00.002100,3.855839922773966
2025-07-25 12:00:00.002200,4.029064357136627
2025-07-25 12:00:00.002300,4.200857284118062
2025-07-25 12:00:00.002400,4.371157666509329
2025-07-25 12:00:00.002500,4.5399049973954675
2025-07-25 12:00:00.002600,4.707039321653326
2025-07-25 12:00:00.002700,4.872501257253322
2025-07-25 12:00:00.002800,5.036232016357607
2025-07-25 12:00:00.002900,5.198173426207093
2025-07-25 12:00:00.003000,5.3582679497899655
2025-07-25 12:00:00.003100,5.516458706284302
2025-07-25 12:00:00.003200,5.672689491267564
2025-07-25 12:00:00.003300,5.826904796685759
2025-07-25 12:00:00.003400,5.979049830575188
2025-07-25 12:00:00.003500,6.129070536529763
2025-07-25 12:00:00.003600,6.276913612907004
2025-07-25 12:00:00.003700,6.422526531765843
2025-07-25 12:00:00.003800,6.565857557529564
2025-07-25 12:00:00.003900,6.7068557653672
2025-07-25 12:00:00.004000,6.845471059286886
2025-07-25 12:00:00.004100,6.981654189934727
2025-07-25 12:00:00.004200,7.115356772092855
2025-07-25 12:00:00.004300,7.246531301870467
2025-07-25 12:00:00.004400,7.375131173581741
2025-07-25 12:00:00.004500,7.501110696304597
2025-07-25 12:00:00.004600,7.624425110114479
2025-07-25 12:00:00.004700,7.74503060198734
2025-07-25 12:00:00.004800,7.86288432136619
2025-07-25 12:00:00.004900,7.977944395385711
2025-07-25 12:00:00.005000,8.090169943749475
2025-07-25 12:00:00.005100,8.199521093254523
2025-07-25 12:00:00.005200,8.305958991958128
2025-07-25 12:00:00.005300,8.40944582298169
2025-07-25 12:00:00.005400,8.509944817946918
2025-07-25 12:00:00.005500,8.607420270039437
2025-07-25 12:00:00.005600,8.701837546695256
2025-07-25 12:00:00.005700,8.793163101905561
2025-07-25 12:00:00.005800,8.881364488135443
2025-07-25 12:00:00.005900,8.966410367852356
2025-07-25 12:00:00.006000,9.048270524660195
2025-07-25 12:00:00.006100,9.126915874035026
2025-07-25 12:00:00.006200,9.202318473658703
2025-07-25 12:00:00.006300,9.274451533346612
2025-07-25 12:00:00.006400,9.34328942456612
2025-07-25 12:00:00.006500,9.408807689542254
2025-07-25 12:00:00.006600,9.470983049947444
2025-07-25 12:00:00.006700,9.529793415172188
2025-07-25 12:00:00.006800,9.58521789017376
2025-07-25 12:00:00.006900,9.6372367829001
2025-07-25 12:00:00.007000,9.685831611286313
2025-07-25 12:00:00.007100,9.730985109821265
2025-07-25 12:00:00.007200,9.772681235681935
2025-07-25 12:00:00.007300,9.81090517443334
2025-07-25 12:00:00.007400,9.845643345292054
2025-07-25 12:00:00.007500,9.876883405951377
2025-07-25 12:00:00.007600,9.904614256966513
2025-07-25 12:00:00.007700,9.928826045698134
2025-07-25 12:00:00.007800,9.949510169813001
2025-07-25 12:00:00.007900,9.966659280340298
2025-07-25 12:00:00.008000,9.980267284282716
2025-07-25 12:00:00.008100,9.990329346781248
2025-07-25 12:00:00.008200,9.996841892833002
2025-07-25 12:00:00.008300,9.999802608561371
2025-07-25 12:00:00.008400,9.999210442038162
2025-07-25 12:00:00.008500,9.995065603657316
2025-07-25 12:00:00.008600,9.987369566060176
2025-07-25 12:00:00.008700,9.976125063612253
2025-07-25 12:00:00.008800,9.961336091431724
2025-07-25 12:00:00.008900,9.943007903969988
2025-07-25 12:00:00.009000,9.921147013144777
2025-07-25 12:00:00.009100,9.89576118602651
2025-07-25 12:00:00.009200,9.866859442078681
2025-07-25 12:00:00.009300,9.834452049953297
2025-07-25 12:00:00.009400,9.79855052384247
2025-07-25 12:00:00.009500,9.759167619387476
2025-07-25 12:00:00.009600,9.71631732914674
2025-07-25 12:00:00.009700,9.670014877624352
2025-07-25 12:00:00.009800,9.62027671586086
2025-07-25 12:00:00.009900,9.567120515588307
2025-07-25 12:00:00.010000,9.510565162951538
2025-07-25 12:00:00.010100,9.45063075179805
2025-07-25 12:00:00.010200,9.387338576538742
2025-07-25 12:00:00.010300,9.320711124582111
2025-07-25 12:00:00.010400,9.25077206834458
2025-07-25 12:00:00.010500,9.177546256839811
2025-07-25 12:00:00.010600,9.101059706849956
2025-07-25 12:00:00.010700,9.021339593682026
2025-07-25 12:00:00.010800,8.938414241512637
2025-07-25 12:00:00.010900,8.852313113324554
2025-07-25 12:00:00.011000,8.763066800438635
2025-07-25 12:00:00.011100,8.670707011644902
2025-07-25 12:00:00.011200,8.575266561936525
2025-07-25 12:00:00.011300,8.476779360850834
2025-07-25 12:00:00.011400,8.375280400421417
2025-07-25 12:00:00.011500,8.27080574274562
2025-07-25 12:00:00.011600,8.163392507171842
2025-07-25 12:00:00.011700,8.05307885711122
2025-07-25 12:00:00.011800,7.939903986478356
2025-07-25 12:00:00.011900,7.8239081057658835
2025-07-25 12:00:00.012000,7.705132427757894
2025-07-25 12:00:00.012100,7.583619152887219
2025-07-25 12:00:00.012200,7.459411454241823
2025-07-25 12:00:00.012300,7.332553462225604
